Datetime,ABS_640,ABS_520,ABS_365,AAE,Scat_700,Scat_550,Scat_450,BS_700,BS_550,BS_450,SAE,SSA_700,SSA_550,SSA_450
'01-Jul-2022 00:00:00',0.95710348,1.073434185,1.32270834,0.578553083,7.867322565,11.45747505,15.54425492,1.493394333,1.292183417,2.063324896,1.559595733,0.893383929,0.915891228,0.928638928
'01-Jul-2022 00:10:00',1.022391237,1.157864568,1.45412699,0.626729019,9.925371802,14.31778686,19.22504842,1.192552917,1.47633775,2.335981333,1.497845438,0.911074167,0.927493704,0.937733258
'01-Jul-2022 00:20:00',1.095334519,1.247263923,1.625195934,0.707261021,9.919075415,15.04873672,20.23743693,1.663326,1.475996833,2.731615,1.618961396,0.905879529,0.926153985,0.935148811
'01-Jul-2022 00:30:00',1.007266353,1.132077147,1.432119024,0.627162247,9.488337111,13.6869317,17.95141736,1.77836,1.531358583,2.57003,1.456435464,0.907606186,0.925952939,0.934481002
'01-Jul-2022 00:40:00',1.122466941,1.267361894,1.587412816,0.616163389,9.171623455,14.26085032,19.31585218,1.376836583,1.756852917,1.905743417,1.691036321,0.896292887,0.921017861,0.932708499
'01-Jul-2022 00:50:00',1.960979524,2.282669089,3.019272499,0.769132586,10.13445892,15.8012524,20.99882387,1.463526167,1.940321583,1.96035575,1.65676115,0.846705756,0.878807657,0.891347591
'01-Jul-2022 01:00:00',3.03668125,3.599511999,4.864985976,0.829664202,10.46935841,16.93095677,23.70959915,1.721765667,2.052027833,5.399444167,1.853433197,0.790585883,0.833399639,0.855204107
'01-Jul-2022 01:10:00',2.713123569,3.189824511,4.256049827,0.800579067,10.92469882,17.49776502,23.74953501,1.601181,1.885144167,2.8451925,1.765586259,0.81212071,0.851917929,0.868874607
'01-Jul-2022 01:20:00',2.14005335,2.495307771,3.271774706,0.756497023,11.36332515,17.8344863,24.08197264,1.977549333,1.934819833,2.1926185,1.710892452,0.849845724,0.881702648,0.896038646
'01-Jul-2022 01:30:00',2.508674995,2.932587756,3.87274457,0.772977894,11.2257443,18.19540779,24.66488883,1.63955725,1.883189083,3.543231667,1.791302463,0.827909207,0.86666521,0.882294886
'01-Jul-2022 01:40:00',1.488101918,1.714984598,2.212399768,0.703572237,10.85818094,16.98474806,23.10153823,1.931429417,2.017737,3.561001667,1.71643887,0.88616859,0.911551887,0.92385725
'01-Jul-2022 01:50:00',1.337761348,1.536612929,1.968352166,0.688461143,11.17578594,17.24356515,22.00121663,1.658629917,1.918058,4.127702083,1.544499139,0.898648151,0.9210963,0.928105039
'01-Jul-2022 02:00:00',2.753765901,3.764263608,5.063957875,0.864674744,11.99154388,18.06965269,23.62942262,1.926155417,1.785156583,3.68164775,1.544992989,0.842222401,0.855795612,0.869232145
'01-Jul-2022 02:10:00',35.48092489,36.6470626,52.8849924,0.745578123,12.07417816,18.00640544,23.81978065,1.868576167,2.0392845,4.632723167,1.541737197,0.262613077,0.334649311,0.349202286
'01-Jul-2022 02:20:00',13.37294931,14.06527878,17.05714599,0.708723708,11.57884699,17.93565494,23.08536779,1.485966083,2.074525833,2.87508125,1.572366034,0.697117275,0.740639342,0.744918171
'01-Jul-2022 02:30:00',1.462559971,1.536617402,1.926031346,0.462627193,11.79720489,17.71317059,22.09404992,2.006900083,2.128499417,4.071438646,1.431737814,0.895447458,0.922068343,0.928177767
'01-Jul-2022 02:40:00',NaN,NaN,NaN,NaN,10.63480769,15.3304753,21.1232848,1.418360167,1.70635575,3.794167583,1.550644737,NaN,NaN,NaN
'01-Jul-2022 02:50:00',1.12616409,1.289965169,1.58331865,0.592057951,9.435557948,13.34718669,17.15322509,1.6731005,1.57523575,2.6992175,1.355066853,0.898283972,0.914587693,0.925023383
'01-Jul-2022 03:00:00',21.59775282,29.93198098,28.98585413,0.295601553,9.580380792,13.74378985,17.03259341,1.59657475,1.725682083,3.16968,1.307345118,0.377536953,0.409594548,0.468387765
'01-Jul-2022 03:10:00',1.386928407,1.459600564,2.187524491,0.946175721,9.765108786,13.06200247,16.95567513,1.520688667,1.416124917,3.961130833,1.246385172,0.884287873,0.903016351,0.902386011
'01-Jul-2022 03:20:00',0.91261631,1.038638212,1.347934502,0.692120533,9.234425854,13.45108792,16.72310012,1.278076917,1.512783083,3.0142525,1.353080248,0.914537043,0.93079013,0.93519863
'01-Jul-2022 03:30:00',0.883847933,1.058584853,1.720063098,1.176034141,9.718266858,14.04677366,17.33149816,1.454312917,1.789420833,1.769179167,1.321941202,0.9242224,0.934373062,0.928824526
'01-Jul-2022 03:40:00',0.975984507,1.194758403,2.478026963,1.701469946,9.949894326,14.64284748,18.55081211,1.622228083,1.5715395,2.570849167,1.419238942,0.92218945,0.930796789,0.91449213
'01-Jul-2022 03:50:00',1.131341802,1.081809703,2.650841701,1.648887207,10.12325196,14.48507877,18.16903842,1.716347417,1.707758667,2.11749875,1.332255759,0.916936277,0.935354704,0.907665994
'01-Jul-2022 04:00:00',18.54163692,20.72735789,25.08227594,0.538116108,10.1741061,14.24711217,18.85654143,1.875522583,1.791414917,2.843354167,1.39865328,0.361632794,0.422446593,0.461602209
'01-Jul-2022 04:10:00',0.806006405,0.974978488,1.169136256,0.646332021,10.10649473,14.1940263,17.97341186,1.515743,1.909595833,3.245086458,1.312808509,0.921493952,0.940661127,0.945301606
'01-Jul-2022 04:20:00',0.992932931,3.69086135,1.434686586,0.299467996,10.44582943,14.34067784,18.57216668,2.017845083,1.629815833,3.29945325,1.303617486,0.919274732,0.803119385,0.933653996
'01-Jul-2022 04:30:00',21.8710436,16.73293648,28.3513948,0.645054034,11.10381166,15.32891736,19.28643298,1.809754667,1.90653825,2.60705875,1.253939976,0.489439655,0.573723073,0.545703391
'01-Jul-2022 04:40:00',1.338276231,1.714491375,4.534681339,2.328064915,10.83046546,16.12069759,19.43155159,1.658895083,2.1089975,3.139359167,1.330448055,0.909604284,0.913744718,0.873307683
'01-Jul-2022 04:50:00',1.077399431,2.006857463,3.80175846,2.253459237,10.08597906,14.62421924,18.63911201,1.441546417,1.853540833,2.455096167,1.394288306,0.919497128,0.892855465,0.886530836
'01-Jul-2022 05:00:00',23.47681722,19.80490349,24.20977738,0.209517933,9.631086727,13.92154403,18.67965592,1.641825667,1.685087667,4.663716667,1.498486095,0.539758444,0.548604779,0.620819327
