'AbsTime',Acetonitrile',Acetaldehyde',Acetone',DMS',Isoprene',MVK+MACR',MEK',Hydroxyacetone',Benzene',Toluene',Styrene',m-xylene',C3-benzene',C4-benzene',Monoterpene',Latitude',Longitude','Flag'
7/1/2022 12:40,0.337,3.62,7.34,0.109,0.616,0.628,0.911,2.162,0.484,0.414,NaN,1.392,NaN,NaN,NaN,29.66986,-95.0593,1
7/1/2022 12:45,0.236,2.979,6.006,0.064,0.373,0.536,0.574,0.966,0.405,1.339,NaN,1.742,NaN,NaN,NaN,29.66986,-95.0593,1
7/1/2022 12:50,0.239,2.959,4.984,0.072,0.358,0.576,0.527,0.456,0.435,2.627,NaN,2.113,0.215,0.535,NaN,29.66986,-95.0593,1
7/1/2022 12:55,0.216,2.501,4.454,0.066,0.358,0.508,0.488,0.392,0.318,1.624,NaN,1.219,NaN,0.446,NaN,29.66986,-95.0593,1
7/1/2022 13:00,0.176,2.386,4.418,NaN,0.366,0.54,0.414,0.446,0.232,0.949,NaN,0.758,NaN,NaN,NaN,29.66986,-95.0593,1
7/1/2022 13:05,0.221,2.248,4.391,NaN,0.321,0.417,0.394,0.392,NaN,0.579,NaN,0.569,NaN,NaN,NaN,29.66986,-95.0593,1
7/1/2022 13:10,0.186,2.251,4.093,0.074,0.294,0.255,0.358,0.352,NaN,0.374,NaN,0.434,NaN,NaN,NaN,29.66986,-95.0593,1
7/1/2022 13:15,0.187,1.901,3.94,NaN,0.234,NaN,0.288,0.229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.66986,-95.0593,1
7/1/2022 13:20,0.185,2.836,8.167,NaN,0.478,0.212,0.567,0.301,NaN,0.35,NaN,NaN,NaN,NaN,NaN,29.66986,-95.0593,1
7/1/2022 13:25,0.168,2.43,4.945,0.074,0.366,0.248,0.339,0.204,NaN,0.388,NaN,NaN,NaN,NaN,NaN,29.66986,-95.0593,1
7/1/2022 13:30,0.168,2.166,5.011,NaN,0.424,0.226,0.446,0.297,NaN,0.389,NaN,NaN,NaN,NaN,NaN,29.66986,-95.0593,1
7/1/2022 13:35,0.169,2.356,4.992,0.077,0.409,0.273,0.336,0.261,NaN,0.589,NaN,NaN,NaN,NaN,NaN,29.66986,-95.0593,1
7/1/2022 13:40,0.186,2.424,8.095,0.066,0.402,0.312,0.673,0.394,0.312,1.173,NaN,0.523,NaN,NaN,NaN,29.66986,-95.0593,1
7/1/2022 13:45,0.198,2.547,14.189,0.078,0.461,0.307,0.484,1.712,0.882,0.42,NaN,0.432,0.701,NaN,NaN,29.66986,-95.0593,1
7/1/2022 13:50,0.164,2.557,4.938,0.073,0.632,0.35,0.372,0.521,0.227,0.275,NaN,NaN,NaN,NaN,NaN,29.66986,-95.0593,1
7/1/2022 13:55,0.165,2.604,3.909,0.078,0.658,0.381,0.316,0.238,NaN,0.322,NaN,NaN,NaN,NaN,NaN,29.66986,-95.0593,1
7/1/2022 14:00,0.166,2.356,3.841,0.071,0.587,0.398,0.488,0.315,NaN,0.634,NaN,NaN,NaN,NaN,NaN,29.66986,-95.0593,1
7/1/2022 14:05,0.156,2.344,4.972,0.221,0.548,0.368,0.809,0.385,NaN,0.57,NaN,0.498,NaN,NaN,NaN,29.66986,-95.0593,1
7/1/2022 14:10,0.189,2.38,4.84,0.197,0.526,0.316,0.76,0.398,NaN,0.298,NaN,NaN,NaN,NaN,NaN,29.66986,-95.0593,1
7/1/2022 14:15,0.158,2.224,3.933,0.188,0.369,0.319,0.518,0.419,NaN,0.309,NaN,0.428,NaN,NaN,NaN,29.66986,-95.0593,1
7/1/2022 14:20,0.156,2.184,3.492,0.182,0.384,0.361,0.393,0.363,NaN,0.293,NaN,NaN,NaN,NaN,NaN,29.66986,-95.0593,1
